1449-01-01, Lorenzo de'Medici
1481-01-01, Huldrych Zwingli
1735-01-01, Paul Revere
1745-01-01, Anthony Wayne
1752-01-01, Elizabeth Griscom
1819-01-01, Arthur Hugh Clough
1854-01-01, James Frazer
1864-01-01, Alfred Stieglitz
1867-01-01, Lew Fields
1873-01-01, Mariano Azuela
1879-01-01, E.M. Forster
1895-01-01, J Edgar Hoover
1900-01-01, Xavier Cugat
1909-01-01, Barry Goldwater
1909-01-01, Dana Andrews
1909-01-01, John Glenn
1911-01-01, Hank Greenberg
1919-01-01, Carole Landis
1919-01-01, J D Salinger
1922-01-01, Ernest Hollings
1925-01-01, George Conner
1927-01-01, Yuri Grigorovich
1932-01-01, Terry Moore
1942-01-01, Joe McDonald
1942-01-01, Gennadi V. Sarafanov
1727-01-02, James Wolfe
1861-01-02, Helen Herron Taft
1863-01-02, Lucia Zarate
1920-01-02, Isaac Asimov
1922-01-02, Renata Tebaldi
1927-01-02, Gino Marchetti
1927-01-02, Richard Belmont Ray
1936-01-02, Roger Miller
0106-01-03, Cicero
1543-01-03, Juan Cabrillo
1793-01-03, Lucretia Coffin Mott
1840-01-03, Father Damien
1870-01-03, Henry Handel Richardson
1879-01-03, Grace Anna Goodhue Coolidge
1883-01-03, Clement R. Attlee
1892-01-03, J.R.R. Tolkien
1905-01-03, Ray Milland
1909-01-03, Victor Borge
1916-01-03, Betty Furness
1918-01-03, Maxine Andrews
1928-01-03, Jeanne Moreau
1930-01-03, Robert Loggia
1939-01-03, Bobby Hull
1945-01-03, Stephen Stills
1947-01-03, Melanie (Safka)
1950-01-03, Victoria Principal
1581-01-04, Bishop James Ussher
1643-01-04, Issac Newton
1785-01-04, Jacob Grimm
1789-01-04, Benjamin Lundy
1797-01-04, Wilhelm Beer
1809-01-04, Louis Braille
1813-01-04, Issac Pitman
1838-01-04, Charles Stratton
1914-01-04, Jane Wyman
1930-01-04, Barbara Rush
1930-01-04, Don Shula
1930-01-04, Sorrell Brooke
1935-01-04, Floyd Patterson
1937-01-04, Dyan Cannon
1943-01-04, Tom Wilkinson
1592-01-05, Shah Jahan
1779-01-05, Stephen Decatur
1846-01-05, Rudolf Eucken
1855-01-05, King Camp Gillette
